ID,品类,商品名,品牌,店铺名,经济体,省份,地级市,原价,快递费,是否天猫,活动价1,月销量1,累计评价1,信誉1,活动价2,月销量2,累计评价2,信誉2,活动价3,月销量3,累计评价3,信誉3,活动价4,月销量4,累计评价4,信誉4,活动价5,月销量5,累计评价5,信誉5,活动价6,月销量6,累计评价6,信誉6
576621211476,肉,鸡,萨啦咪,9aeae9150dc2b0e2,中国大陆,浙江,温州,35.9,5.0,1,35.9,2396.0,623.0,-1.0,35.9,2686.0,1234.0,-1.0,35.9,2401.0,1667.0,-1.0,35.9,1772.0,1978.0,-1.0,35.9,2217.0,2392.0,-1.0,35.9,1742.0,2623.0,-1.0
556419181898,肉,牛肉,藏北,2e3c2aff3df3c473,中国大陆,西藏自治区,那曲地区,108.0,0.0,0,108.0,27.0,68.0,2311.0,108.0,27.0,68.0,2482.0,108.0,28.0,76.0,2661.0,108.0,11.0,75.0,2764.0,108.0,24.0,84.0,2862.0,108.0,13.0,93.0,2975.0
548040144911,肉,腊肉,湘妹子,08d53a013c14b8f2,中国大陆,中国大陆,张家界,12.99,5.0,0,12.99,572.0,708.0,3874.0,12.99,375.0,866.0,4876.0,12.99,294.0,938.0,5688.0,12.99,108.0,878.0,6199.0,12.99,160.0,744.0,6680.0,12.99,205.0,669.0,7369.0
562961620561,肉,其他,啃馋你,460a4dd548df9333,中国大陆,江苏,常熟,69.0,0.0,1,49.9,105.0,223.0,-1.0,49.9,30.0,242.0,-1.0,49.9,28.0,250.0,-1.0,49.9,13.0,253.0,-1.0,49.9,22.0,255.0,-1.0,49.9,22.0,261.0,-1.0
534203662549,肉,鸡胸肉,other/其他,864aad215288418c,中国大陆,山东,菏泽,8.7,8.0,0,8.7,478.0,2509.0,45759.0,8.7,281.0,1588.0,46608.0,8.7,345.0,1100.0,47271.0,8.7,272.0,791.0,47752.0,8.7,381.0,669.0,48224.0,8.7,306.0,452.0,48415.0
571240964342,肉,牛肉,正益,2cf735b5d0a91f24,中国大陆,安徽,亳州,5.9,5.0,0,5.9,143.0,114.0,22544.0,6.5,69.0,143.0,25150.0,6.5,41.0,155.0,28117.0,6.5,58.0,150.0,30573.0,6.5,111.0,111.0,32640.0,6.5,7.0,95.0,34803.0
558126400247,肉,猪肉,烛山,c7c0c1571a9e27bd,中国大陆,湖南,张家界,119.0,0.0,1,49.0,49.0,85.0,-1.0,49.0,12.0,88.0,-1.0,49.0,26.0,90.0,-1.0,49.0,18.0,94.0,-1.0,49.0,25.0,101.0,-1.0,49.0,32.0,104.0,-1.0
520550807841,肉,扒鸡,德城,672daa7f4d4dd7ce,中国大陆,山东,德州,39.0,0.0,0,26.9,285.0,2092.0,25538.0,26.9,631.0,1831.0,26036.0,26.9,926.0,1981.0,26878.0,20.9,101.0,2190.0,27493.0,20.9,209.0,1981.0,27691.0,21.9,100.0,1762.0,27889.0
39900837031,肉,猪肉,立日有,5615422557f068c9,中国大陆,中国大陆,福州,57.8,0.0,1,48.0,81.0,128.0,-1.0,48.0,147.0,130.0,-1.0,48.0,114.0,139.0,-1.0,48.0,111.0,142.0,-1.0,48.0,198.0,146.0,-1.0,48.0,168.0,156.0,-1.0
576589769691,肉,牛肉,萌卤,3d6bc9e94406bcaa,中国大陆,四川,自贡,39.0,0.0,0,25.8,10.0,6.0,6433.0,25.8,14.0,7.0,6884.0,25.8,6.0,9.0,7099.0,25.8,2.0,11.0,7147.0,25.8,3.0,12.0,7218.0,25.8,2.0,10.0,7260.0
557739440921,肉,牛肉,冠云,87761226dffc7700,中国大陆,山西,晋中,195.0,0.0,1,229.0,0.0,1.0,-1.0,195.0,0.0,1.0,-1.0,248.0,0.0,1.0,-1.0,248.0,0.0,1.0,-1.0,248.0,0.0,1.0,-1.0,248.0,0.0,1.0,-1.0
554249118024,肉,鸡腿,食为先,d70bca94b1fef6ef,中国大陆,湖南,岳阳,43.8,0.0,1,32.0,166.0,789.0,-1.0,32.0,158.0,832.0,-1.0,36.0,291.0,899.0,-1.0,32.0,194.0,937.0,-1.0,9.9,369.0,1028.0,-1.0,9.9,810.0,1188.0,-1.0
541329435316,肉,羊肉,BEYAR/巴彦尔,1c9ffa7b7e5b6686,中国大陆,内蒙古自治区,赤峰,148.0,0.0,1,78.0,17.0,91.0,-1.0,78.0,4.0,91.0,-1.0,78.0,6.0,91.0,-1.0,78.0,1.0,90.0,-1.0,78.0,2.0,89.0,-1.0,78.0,2.0,88.0,-1.0
573780697054,肉,猪肉,罗源湾,e8aabe7dc593b307,中国大陆,中国大陆,福州,42.0,0.0,1,32.5,118.0,68.0,-1.0,32.5,111.0,88.0,-1.0,32.5,88.0,99.0,-1.0,32.5,79.0,102.0,-1.0,32.5,123.0,121.0,-1.0,32.5,93.0,132.0,-1.0
