ID,电影名,地区,导演,主演,类型,特色,评分,评分标准差
1298909,魔鬼代言人,德国,泰勒·海克福德,基努·里维斯|阿尔·帕西诺|查理兹·塞隆|杰弗瑞·琼斯|朱迪思·爱薇,剧情|犯罪|奇幻|惊悚|悬疑,魔幻|经典,8.2,1.3457814902683372
1299080,后窗,美国,阿尔弗雷德·希区柯克,詹姆斯·斯图尔特|格蕾丝·凯利|温戴尔·柯瑞|瑟尔玛·瑞特|雷蒙德·布尔,惊悚|悬疑|犯罪,经典,8.5,1.3718984157574836
1299092,回到未来2,美国,罗伯特·泽米吉斯,迈克尔·J·福克斯|克里斯托弗·洛伊德|莉·汤普森|托马斯·F·威尔森|伊丽莎白·苏,剧情|喜剧|科幻|冒险|动作,搞笑|经典,8.3,1.1292269965914865
1299131,教父2,美国,弗朗西斯·福特·科波拉,阿尔·帕西诺|罗伯特·杜瓦尔|黛安·基顿|罗伯特·德尼罗|约翰·凯泽尔,剧情|动作|犯罪,经典|黑帮|励志,9.1,1.499072394887178
1299153,异形4,法国,让-皮埃尔·热内,西格妮·韦弗|薇诺娜·瑞德|多米尼克·皮侬|朗·普尔曼|加里·杜尔丹,剧情|惊悚|恐怖|悬疑|科幻|动作,经典,7.6,1.2549838520212613
1299193,理智与情感,英国,李安,艾玛·汤普森|凯特·温丝莱特|休·格兰特|艾伦·瑞克曼|汤姆·威尔金森,爱情|剧情,经典|文艺,8.3,1.2541115765333573
1299327,夜访吸血鬼,美国,尼尔·乔丹,布拉德·皮特|汤姆·克鲁斯|克斯汀·邓斯特|克里斯蒂安·史莱特|坦迪·牛顿,爱情|剧情|奇幻|惊悚|恐怖,魔幻|经典,8.3,1.384900303521421
1299362,保镖,印度,Siddique,阿辛,爱情|犯罪|剧情|喜剧|音乐|动作|歌舞,搞笑|经典,7.1,1.2403522979702692
1299383,最后的武士,日本,爱德华·兹威克,汤姆·克鲁斯|渡边谦|蒂莫西·斯波|比利·康诺利|托尼·戈德温,战争|剧情|历史|冒险|动作,经典|励志,7.8,1.3159222332699194
1299603,落水狗,美国,昆汀·塔伦蒂诺,哈威·凯特尔|蒂姆·罗斯|迈克尔·马德森|克里斯·潘|史蒂夫·布西密,惊悚|悬疑|剧情|犯罪,经典|黑帮,8.3,1.312631576893414
1299769,第六感生死缘,美国,马丁·布莱斯,布拉德·皮特|安东尼·霍普金斯|克莱尔·弗兰妮|杰克·韦伯|马西娅·盖伊·哈登,爱情|悬疑|剧情|奇幻,经典,7.8,1.316375037276912
1299837,虎胆龙威3,美国,约翰·麦克蒂尔南,布鲁斯·威利斯|杰瑞米·艾恩斯|塞缪尔·杰克逊|格雷厄姆·格林|考林·加普,动作|剧情|惊悚|犯罪,经典,7.8,1.076205429255986
1299981,惊声尖笑,美国,基伦·埃弗瑞·韦恩斯,安娜·法瑞丝|乔·阿布拉汉姆斯|马龙·韦恩斯|戴夫·谢里登|莎诺·伊丽莎白,剧情|喜剧|惊悚|恐怖|悬疑,搞笑|经典|青春,6.9,1.3824009204369825
1300055,全金属外壳,英国,斯坦利·库布里克,亚当·鲍德温|马修·莫迪恩|文森特·多诺费奥|李·厄米,战争|剧情|历史,经典,8.5,1.3733998595636518
1300069,偷天陷阱,德国,乔恩·阿米尔,肖恩·康纳利|凯瑟琳·泽塔-琼斯|文·瑞姆斯|威尔·帕顿|莫里·柴金,爱情|剧情|犯罪|惊悚|悬疑|动作,经典,7.7,1.1978134467818997
1300117,千钧一发,美国,安德鲁·尼科尔,伊桑·霍克|乌玛·瑟曼|裘德·洛|艾伦·阿金|戈尔·维达尔,爱情|剧情|惊悚|悬疑|科幻,感人|经典|励志,8.7,1.4636703273168008
1300220,莎翁情史,英国,约翰·马登,约瑟夫·费因斯|格温妮斯·帕特洛|杰弗里·拉什|朱迪·丹奇|汤姆·威尔金森,爱情|传记|剧情|喜剧,经典|文艺,7.3,1.2940098864574952
1300267,乱世佳人,美国,维克多·弗莱明|乔治·库克|山姆·伍德,费雯·丽|克拉克·盖博|奥利维娅·德哈维兰|托马斯·米切尔|芭芭拉·欧内尔,爱情|战争|剧情|历史,女性|励志|经典|文艺,9.2,1.5726866637403958
1300282,异次元骇客,德国,约瑟夫·鲁斯纳克,克雷格·比尔克|阿明·缪勒-斯塔尔|格瑞辰·摩尔|文森特·多诺费奥|丹尼斯·海斯伯特,爱情|剧情|奇幻|惊悚|悬疑|科幻,经典,8.3,1.3380251862437462
